"mnemonic"|"args"|"shortdescription"|"description"|"type"|"group"|"subdivision"|"family"|"subfamily"|"coding"|"operation"|"flags"|"notes"|"assemblertranslationsandvalidations"|"cpuvalidations"
"j"|"LABEL"|"Jump"|"Jump to $PC \enspace + \enspace 1 \enspace + \enspace displacement$"|"0"|"A"|"0"|"Control"|"0"|"00 00 dddddddddddddddddddddddddddd"|"$pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{26})$ \\"|"None \\"|"Label is translated to displacement from PC."|"DIS range: -33554432:33554431"|"dst range: 0:31"
"trap"||"Trap"|"Generate software exception"|"0"|"B"|"0"|"Control"|"1"|"00 01 uuuuuuuuuuuuuuuuuuuuuuuuuuuu"|"$cr[31]  \longleftarrow_{1} 1$ \\"|"$cr[31]$ \\"|"Trap will be detected in next fetch step. Being the lowest priority exception cannot be used inside a handler."|"None."|"None."
"rfe"||"Return from exception"|"Return from exception to user mode"|"0"|"B"|"1"|"Control"|"1"|"00 10 uuuuuuuuuuuuuuuuuuuuuuuuuuuu"|"$esp \longleftarrow_{5} esp - 1 $ \\ $pc \longleftarrow_{30} l_{esp}[29:0]$ \\ $cfg[0] \longleftarrow_{1} 0$ \\"|"$cfg[0]$ \\"|"None."|"None."|"None."
"jr"|"rsrc"|"Jump register"|"Jump to address stored in GPR"|"1"|"A"|"0"|"Control"|"0"|"01 0000 r\_src ddddddddddddddddddddd"|"$pc \longleftarrow_{30} r_{src}[31:2]$ \\"|"None \\"|"The two LSB's of $r_{src}$ are discarded. These bits should be zero, but no checking is done."|"None."|"src range: 0:31"
"jal"|"rsrc,DIS"|"Jump and link"|"Jump to $PC \enspace + \enspace 1 \enspace + \enspace displacement$ and link in GPR"|"1"|"B"|"0"|"Control"|"0"|"01 0001 uuuuu r\_dst dddddddddddddddd "|"$pc \longleftarrow_{30} pc + 1 + sx_{30}(dis21)$ \\ $r_{src}  \longleftarrow_{32} (pc + 1)\#0b00$ \\"|"None \\"|"None."|"None."|"src range: 0:31"
"bc"|"rsrc,DIS"|"Branch if carry GPR"|"Branch if carry in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0000 ddddddddddddddddd"|"if $(r_{src}.c == '1')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bv"|"rsrc,DIS"|"Branch if overflow GPR"|"Branch if overflow in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0001 ddddddddddddddddd"|"if $(r_{src}.v == '1')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bz"|"rsrc,DIS"|"Branch if zero GPR"|"Branch if zero in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0010 ddddddddddddddddd"|"if $(r_{src}.z == '1')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bn"|"rsrc,DIS"|"Branch if negative GPR"|"Branch if negative in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0011 ddddddddddddddddd"|"if $(r_{src}.n == '1')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bnc"|"rsrc,DIS"|"Branch if not carry GPR"|"Branch if not carry in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0100 ddddddddddddddddd"|"if $(r_{src}.c == '0')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
"bnv"|"rsrc,DIS"|"Branch if not overflow GPR"|"Branch if not overflow in tested GPR"|"1"|"C"|"0"|"Control"|"2"|"01 0010 r\_src 0101 ddddddddddddddddd"|"if $(r_{src}.v == '0')$ then \\ $\enspace pc \longleftarrow_{30} pc + 1 + sx_{30}(dis_{16})$ \\ endif \\"|"None \\"|"None."|"DIS range: -65536:65535"|"src range: 0:31"
